	L_Shoulder_Angle	L_Shoulder_Angle	L_Shoulder_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Elbow_Angle	L_Wrist_Angle	L_Wrist_Angle	L_Wrist_Angle	R_Shoulder Angle	R_Shoulder Angle	R_Shoulder Angle	R_Elbow Angle	R_Elbow Angle	R_Elbow Angle	R_Wrist Angle	R_Wrist Angle	R_Wrist Angle	Thorax_Angle	Thorax_Angle	Thorax_Angle
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED	PROCESSED
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
52	-2.62520	14.12033	30.95020	6.23560	-19.83017	-165.29366	8.91468	0.84958	89.07282	-5.76242	-14.81886	-82.54012	-5.40848	15.37617	-143.20819	-3.03974	-5.77198	-89.53422	-7.05201	-0.79117	3.84452
53	-2.64525	14.12482	31.00204	6.24015	-19.82332	-165.28117	8.91676	0.85270	89.07216	-5.75783	-14.81144	-82.51677	-5.40709	15.37996	-143.21033	-3.04437	-5.77081	-89.53425	-7.03676	-0.79844	3.81156
54	-2.66497	14.12920	31.05249	6.24501	-19.81666	-165.26756	8.91876	0.85541	89.07156	-5.75327	-14.80399	-82.49364	-5.40531	15.38393	-143.21344	-3.04767	-5.76973	-89.53439	-7.02210	-0.80552	3.77916
55	-2.68427	14.13340	31.10118	6.25021	-19.81020	-165.25299	8.92068	0.85769	89.07104	-5.74878	-14.79660	-82.47100	-5.40314	15.38805	-143.21767	-3.04959	-5.76875	-89.53463	-7.00806	-0.81229	3.74758
56	-2.70306	14.13733	31.14776	6.25577	-19.80398	-165.23756	8.92255	0.85950	89.07062	-5.74440	-14.78936	-82.44908	-5.40058	15.39225	-143.22311	-3.05011	-5.76789	-89.53495	-6.99468	-0.81867	3.71703
57	-2.72124	14.14093	31.19194	6.26168	-19.79799	-165.22145	8.92439	0.86085	89.07027	-5.74021	-14.78231	-82.42810	-5.39765	15.39647	-143.22980	-3.04926	-5.76716	-89.53536	-6.98196	-0.82457	3.68772
58	-2.73877	14.14415	31.23348	6.26792	-19.79226	-165.20485	8.92622	0.86172	89.07000	-5.73622	-14.77551	-82.40824	-5.39436	15.40064	-143.23772	-3.04710	-5.76657	-89.53584	-6.96990	-0.82995	3.65980
59	-2.75558	14.14698	31.27220	6.27446	-19.78678	-165.18796	8.92803	0.86214	89.06980	-5.73249	-14.76900	-82.38968	-5.39073	15.40469	-143.24678	-3.04371	-5.76611	-89.53638	-6.95848	-0.83475	3.63342
60	-2.77163	14.14940	31.30798	6.28123	-19.78157	-165.17102	8.92981	0.86211	89.06969	-5.72904	-14.76279	-82.37249	-5.38678	15.40856	-143.25691	-3.03923	-5.76580	-89.53699	-6.94771	-0.83894	3.60866
61	-2.78690	14.15143	31.34077	6.28816	-19.77664	-165.15424	8.93153	0.86167	89.06965	-5.72590	-14.75688	-82.35676	-5.38253	15.41216	-143.26794	-3.03378	-5.76564	-89.53764	-6.93757	-0.84254	3.58559
